ID,cluster
46612,0
46663,1
46739,0
46757,0
46758,1
46760,0
46773,0
46787,0
46833,0
46850,0
46858,0
46867,1
46891,0
46918,1
46936,0
46971,0
46974,1
46978,0
46983,0
46993,0
47056,0
47067,0
47085,1
47155,0
47166,0
47182,0
47221,0
47236,1
47251,1
47325,0
47327,0
47352,1
47370,1
47394,0
47429,0
47445,0
47458,0
47462,0
47473,0
47486,0
47505,3
47552,0
47584,1
47594,0
47604,0
47618,0
47622,1
47626,0
47637,0
47648,1
47662,0
47677,0
47702,0
47703,0
47706,1
47707,3
47742,0
47743,0
47747,0
47764,0
47779,1
47780,0
47793,0
47802,1
47816,1
47817,0
47838,0
47844,0
47862,0
47921,0
47945,0
47949,1
47957,1
47959,0
47960,0
47962,3
47983,0
48004,1
48025,0
48026,3
48033,0
48055,0
48060,1
48123,0
48140,0
48148,0
